149 category pages to visit
  sale buraidah-qurtoba                           2 items,   2 new, total  1056 (0.8s)
  sale buraidah-al-nur                            2 items,   2 new, total  1058 (0.6s)
  sale buraidah-as-salmiya                        4 items,   4 new, total  1062 (0.9s)
  sale buraidah-al-nakhil                        22 items,  20 new, total  1082 (0.8s)
  rent buraidah                                  32 items,  32 new, total  1114 (0.8s)
  rent buraidah-al-nur                            1 items,   0 new, total  1114 (0.8s)
  rent buraidah-al-jazirah                        2 items,   1 new, total  1115 (1.1s)
  rent buraidah-as-safra                          2 items,   1 new, total  1116 (0.7s)
  rent buraidah-ar-rawdah                         5 items,   0 new, total  1116 (1.0s)
  rent buraidah-an-nahdah                         2 items,   1 new, total  1117 (0.8s)
  rent buraidah-as-sulaimaniyah                   2 items,   0 new, total  1117 (1.0s)
  sale abha                                      32 items,  32 new, total  1149 (0.9s)
  sale abha-ar-rabwah                             8 items,   8 new, total  1157 (1.1s)
  sale abha-al-badi                              14 items,  13 new, total  1170 (0.8s)
  sale abha-an-nasb                               2 items,   2 new, total  1172 (1.3s)
  sale abha-dhurah                                1 items,   1 new, total  1173 (0.8s)
  sale abha-al-qura                               2 items,   0 new, total  1173 (1.2s)
  sale abha-ash-sharafiyah                       10 items,  10 new, total  1183 (1.1s)
  rent abha                                       7 items,   7 new, total  1190 (1.1s)
  rent abha-al-muruj                              1 items,   0 new, total  1190 (0.9s)
  rent abha-al-safa                               1 items,   0 new, total  1190 (0.5s)
  rent abha-al-wasaif                             1 items,   0 new, total  1190 (0.6s)
  rent abha-ash-sharafiyah                        1 items,   0 new, total  1190 (0.8s)
  sale tabuk                                     32 items,  32 new, total  1222 (1.1s)
  sale tabuk-al-safa                              9 items,   6 new, total  1228 (0.8s)
  sale tabuk-al-wurud                             1 items,   0 new, total  1228 (1.0s)
  sale tabuk-al-qadisiyah-2                       1 items,   0 new, total  1228 (0.8s)
  sale tabuk-al-akhdar                            6 items,   4 new, total  1232 (0.7s)
  sale tabuk-faisaliyah-north                     2 items,   2 new, total  1234 (0.9s)
  sale tabuk-al-quds                              1 items,   1 new, total  1235 (0.8s)
  rent tabuk                                      8 items,   8 new, total  1243 (0.8s)
  rent tabuk-al-hamra                             3 items,   0 new, total  1243 (1.0s)
  rent tabuk-al-nakheel                           1 items,   0 new, total  1243 (0.5s)
  rent tabuk-al-nadheem                           1 items,   0 new, total  1243 (0.9s)
  rent tabuk-faisaliyah-south                     1 items,   0 new, total  1243 (0.8s)
  sale jubail                                    32 items,  32 new, total  1275 (0.9s)
  sale jubail-industrial-city                    11 items,  11 new, total  1286 (2.6s)
  rent jubail                                     4 items,   4 new, total  1290 (0.6s)
  rent jubail-industrial-city                     1 items,   1 new, total  1291 (2.0s)
  sale al-ahsa                                   32 items,  30 new, total  1321 (0.9s)
  sale al-ahsa-al-wurud-2nd                       1 items,   0 new, total  1321 (2.0s)
  sale al-ahsa-ghirnatah                          1 items,   1 new, total  1322 (0.6s)
  sale al-ahsa-al-doha                            4 items,   3 new, total  1325 (0.7s)
  sale al-ahsa-al-koot                            1 items,   1 new, total  1326 (2.2s)
  sale al-ahsa-al-hazm-southern                   1 items,   0 new, total  1326 (2.7s)
